X,Y,OBJECTID,STORENAME,ADDRESS,PHONE,year_opened,year_closed,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,NOTES,X_COORD,Y_COORD,ADDRESS_ID,WARD,PRESENT09,PRESENT10,PRESENT11,PRESENT12,SSL,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,ZIPCODE,PRESENT18
-76.98655151,38.88354906,1,Safeway,415 14th ST SE,2025474333,1990,0,Yes,Yes,Yes,Yes,Yes, ,401167.04,135078.34,26239,Ward 6,Yes,Yes,Yes,Yes,1042    0829,Yes,Yes,Yes,Yes,Yes,20003,Yes
-76.97274787,38.87413334,2,Yes! Organic,2323 Pennsylvania Ave S.E.,2025821480,2010,2013,No,No,No,No,No, ,402365.01,134033.39,48543,Ward 7,No,Yes,Yes,Yes,5560    0055,No,No,No,No,No,20020,No
-77.07299916,38.93435149,3,Giant,3336 Wisconsin Ave NW,2022445922,1995,0,No,Yes,Yes,Yes,Yes, ,393671.02,140720.27,223125,Ward 3,Yes,Yes,Yes,Yes,1920    0844,Yes,Yes,Yes,Yes,Yes,20016,Yes
-77.02485883,38.93845637,4,Safeway,3830 Georgia Ave NW,2028821140,1990,0,Yes,Yes,Yes,Yes,Yes, ,397845.01,141173.71,225076,Ward 4,Yes,Yes,Yes,Yes,2905    0814,Yes,Yes,Yes,Yes,Yes,20011,Yes
-76.9474572,38.89313978,5,Safeway,322 40th ST NE,2023972802,1990,0,Yes,Yes,Yes,Yes,Yes, ,404558.4,136144.21,295141,Ward 7,Yes,Yes,Yes,Yes,5051N   0840,Yes,Yes,Yes,Yes,Yes,20019,Yes
-77.03356775,38.90949911,6,Whole Foods,1440 P ST NW,2023324300,2005,0,No,No,No,Yes,Yes,Logan Circle,397088.79,137959.45,279174,Ward 2,Yes,Yes,Yes,Yes,0210    0128,Yes,Yes,Yes,Yes,Yes,20005,Yes
-77.03298601,38.92930823,7,Target,3100 14th Street Northwest,2027773773,2008,0,No,No,No,No,Yes, ,397140.04,140158.41,306304,Ward 1,Yes,Yes,Yes,Yes,2674    0721,Yes,Yes,Yes,Yes,Yes,20010,Yes
-77.03208537,38.92076211,8,Streets Market,2400 14TH ST NW,2022653300,2014,0,No,No,No,No,No,Street's,397217.8,139209.69,234183,Ward 1,No,No,No,No,2661    0864,No,Yes,Yes,Yes,Yes,20009,Yes
-77.07161524,38.92093428,9,Whole Foods,2323 Wisconsin Ave NW,2023335393,2000,0,No,No,Yes,Yes,Yes,Georgetown,393789.84,139230.75,284358,Ward 3,Yes,Yes,Yes,Yes,1299    1028,Yes,Yes,Yes,Yes,Yes,20007,Yes
-77.07921471,38.94910889,10,Whole Foods,4530 40th ST NW,2022375800,2000,0,No,No,Yes,Yes,Yes,Tenley Town location,393133.54,142358.92,265175,Ward 3,Yes,Yes,Yes,Yes,1770    0804,Yes,Yes,Yes,Yes,Yes,20016,Yes
-77.07645931,38.96555324,11,Magruder's,5626 Connecticut Ave NW,2024644946,1990,0,Yes,Yes,Yes,Yes,Yes, ,393373.92,144184.19,263860,Ward 3,Yes,Yes,Yes,Yes,1860    0013,Yes,Yes,Yes,Yes,Yes,20015,Yes
-77.04099387,38.92421518,12,Safeway,1747 Columbia Rd NW,2026670774,1990,0,Yes,Yes,Yes,Yes,Yes, ,396445.44,139593.32,284083,Ward 1,Yes,Yes,Yes,Yes,2580    0512,Yes,Yes,Yes,Yes,Yes,20009,Yes
-77.02212531,38.90877072,13,Giant,1400 7th Street NW,2022380180,2013,0,No,No,No,No,No,O Street Market,398081.2,137878.29,304153,Ward 6,No,No,No,No,0398    0836,Yes,Yes,Yes,Yes,Yes,20001,Yes
-77.03224562,38.91610088,14,Trader Joe's,1914 14th Street NW,2029861591,2014,0,No,No,No,No,No,14th Street NW,397203.72,138692.26,302384,Ward 2,No,No,No,No,0205    0847,No,Yes,Yes,Yes,Yes,20009,Yes
-77.06756091,38.91612589,15,Safeway,1855 Wisconsin Ave NW,2023333223,1990,0,Yes,No,No,Yes,Yes, ,394141.03,138696.71,224665,Ward 2,Yes,Yes,Yes,Yes,1299    1040,Yes,Yes,Yes,Yes,Yes,20007,Yes
-76.98099934,38.84494948,16,Giant,1535 Alabama Ave SE,2026106464,2008,0,No,No,No,No,Yes,Camp Simms,401649.66,130793.59,306557,Ward 8,Yes,Yes,Yes,Yes,5912    0818,Yes,Yes,Yes,Yes,Yes,20032,Yes
-77.03895583,38.91205752,17,Safeway,1701 Corcoran St NW,2026676825,1990,0,Yes,Yes,Yes,Yes,Yes, ,396621.59,138243.64,241699,Ward 2,Yes,Yes,Yes,Yes,0155    0231,Yes,Yes,Yes,Yes,Yes,20009,Yes
-77.06515041,38.90476755,18,Dean & DeLuca,3276 M Street NW,2023422500,2008,0,No,No,No,No,Yes,Georgetown,394349.18,137435.69,273712,Ward 2,Yes,Yes,Yes,Yes,1186    0800,Yes,Yes,Yes,Yes,Yes,20007,Yes
-77.0319237,38.93082174,19,Giant,1345 Park Road NW,2027771077,2008,0,No,No,No,No,Yes,Tivoli Square,397232.21,140326.39,297595,Ward 1,Yes,Yes,Yes,Yes,2837    0079,Yes,Yes,Yes,Yes,Yes,20010,Yes
-76.98662498,38.88020966,20,Harris Teeter,1350 Potomac Ave SE,2025431040,2008,0,No,No,No,No,Yes,Jenkins Row,401160.72,134707.64,303730,Ward 6,Yes,Yes,Yes,Yes,1045    0138,Yes,Yes,Yes,Yes,Yes,20003,Yes
-77.0577905,38.93516643,21,Yes! Organic,3425 Connecticut Avenue NW,2023631559,2008,0,No,No,No,No,Yes,Cleveland Park,394989.7,140809.79,219254,Ward 3,Yes,Yes,Yes,Yes,2219    0005,Yes,Yes,Yes,Yes,Yes,20008,Yes
-77.02669236,38.9067982,22,Capitol Super Market,1231 11th st NW,2022891336,2008,0,No,No,No,No,Yes, ,397685.02,137659.43,239341,Ward 2,Yes,Yes,Yes,Yes,0340    0824,Yes,Yes,Yes,Yes,Yes,20001,Yes
-77.00164702,38.90043782,23,Giant,300 H Street NE,2025485100,2013,0,No,No,No,No,No,H Street NE,399857.33,136953.04,308511,Ward 6,No,No,No,No,0776    0054,Yes,Yes,Yes,Yes,Yes,20002,Yes
-77.01835491,38.9034968,24,Safeway,490 L St NW,2027192435,2008,0,No,No,No,No,Yes,Mt. Vernon Square,398408.1,137292.77,304767,Ward 6,Yes,Yes,Yes,Yes,0515    0158,Yes,Yes,Yes,Yes,Yes,20001,Yes
-76.99039745,38.93682424,25,Yes! Organic,3809 12th Street NE,2028327715,2008,0,No,No,No,No,Yes,Brookland,400832.73,140992.28,30397,Ward 5,Yes,Yes,Yes,Yes,3925    0085,Yes,Yes,Yes,Yes,Yes,20017,Yes
-76.99990691,38.92184778,26,Save-A-Lot,514 Rhode Island Ave NE,2026363780,2012,0,No,No,No,No,No, ,400008.27,139329.72,288529,Ward 5,No,No,No,Yes,3629    0007,Yes,Yes,Yes,Yes,Yes,20002,Yes
-77.00056538,38.90758758,27,Trader Joe's,1240 4th St NE,0,2018,0,No,No,No,No,No, ,399951.16,137746.72,285974,Ward 5,No,No,No,No,3587    0820,No,No,No,No,No,20002,Yes
-77.04371097,38.92180447,28,Yes! Organic,1825 Columbia Road NW,2024625150,2008,0,No,No,No,No,Yes,Adams Morgan,396209.7,139325.82,295011,Ward 1,Yes,Yes,Yes,Yes,2549    0636,Yes,Yes,Yes,Yes,Yes,20009,Yes
-77.05301446,38.90419895,29,Trader Joe's,1101 25th St NW,2022961921,2008,0,No,No,No,No,Yes,West End,395401.79,137371.89,303613,Ward 2,Yes,Yes,Yes,Yes,0025    0022,Yes,Yes,Yes,Yes,Yes,20037,Yes
-77.03844187,38.92198694,30,Harris Teeter,1631 Kalorama Road,2029861415,2008,0,No,No,No,No,Yes,Citadel,396666.63,139345.87,284059,Ward 1,Yes,Yes,Yes,Yes,2572    0036,Yes,Yes,Yes,Yes,Yes,20009,Yes
-76.99243094,38.91922981,31,Giant,1050 Brentwood Rd NE,2022813900,2005,0,No,No,No,Yes,Yes, ,400656.59,139039.13,299835,Ward 5,Yes,Yes,Yes,Yes,3854    0802,Yes,Yes,Yes,Yes,Yes,20018,Yes
-77.03854439,38.93094343,32,BestWorld Super Market,3178 Mount Pleasant St NW,2022653768,1990,0,Yes,Yes,Yes,Yes,Yes, ,396658.16,140340.12,233149,Ward 1,Yes,Yes,Yes,Yes,2601    0667,Yes,Yes,Yes,Yes,Yes,20010,Yes
-76.97803183,38.90156929,33,Aldi,901 17th St NE,8559552534,2011,0,No,No,No,No,No, ,401905.76,137078.87,308898,Ward 5,No,No,Yes,Yes,4488    0040,Yes,Yes,Yes,Yes,Yes,20002,Yes
-77.07490967,38.96460072,34,Safeway,5545 Connecticut Ave NW,2022446097,1995,0,No,Yes,Yes,Yes,Yes, ,393508.13,144078.34,263999,Ward 3,Yes,Yes,Yes,Yes,1867    0092,Yes,Yes,Yes,Yes,Yes,20015,Yes
-77.06317252,38.94450678,35,Giant,4303 Connecticut Ave NW,2023648250,1995,0,No,Yes,Yes,Yes,Yes, ,394523.79,141846.96,301784,Ward 3,Yes,Yes,Yes,Yes,2049    0805,Yes,Yes,Yes,Yes,Yes,20008,Yes
-77.02552898,38.94103647,36,Yes! Organic,4100 Georgia Avenue NW,2022915790,2009,0,No,No,No,No,No, ,397786.99,141460.14,300492,Ward 4,Yes,Yes,Yes,Yes,2910    0810,Yes,Yes,Yes,Yes,Yes,20011,Yes
-77.02655062,38.9695284,37,Safeway,6500 Piney Branch Rd NW,2027235644,2000,0,No,No,Yes,Yes,Yes, ,397699.34,144623.03,285341,Ward 4,Yes,Yes,Yes,Yes,2974    0020,Yes,Yes,Yes,Yes,Yes,20012,Yes
-77.02728515,38.96207832,38,Walmart Supercenter,5929 Georgia Ave NW,2027193770,2013,0,No,No,No,No,No,Georgia Ave,397635.44,143796.02,254296,Ward 4,No,No,No,No,2986    0039,Yes,Yes,Yes,Yes,Yes,20011,Yes
-76.99466355,38.88339027,39,Yes! Organic,410 8th Street SE,2025469850,2008,0,No,No,No,No,Yes,Capitol Hill,400463.21,135060.64,300093,Ward 6,Yes,Yes,Yes,Yes,0925    0026,Yes,Yes,Yes,Yes,Yes,20003,Yes
-77.00549456,38.90602306,40,Harris Teeter,1201 1st ST NE,2029861415,2011,0,No,No,No,No,No, ,399523.62,137573.06,303728,Ward 6,No,No,Yes,Yes,0711    0816,Yes,Yes,Yes,Yes,Yes,20002,Yes
-76.96667323,38.85903222,41,Safeway,2845 Alabama Ave SE,2025757525,2000,0,No,No,Yes,Yes,Yes, ,402892.75,132357.23,278282,Ward 7,Yes,Yes,Yes,Yes,5642    0001,Yes,Yes,Yes,Yes,Yes,20020,Yes
-77.01716181,38.8776215,42,Safeway,1100 4th St SW,2025549155,1995,0,No,Yes,Yes,Yes,Yes, ,398511.05,134420.39,307170,Ward 6,Yes,Yes,Yes,Yes,0542    0872,Yes,Yes,Yes,Yes,Yes,20024,Yes
-77.00009655,38.8762243,43,Harris Teeter,401 M street SE,2025540164,2014,0,No,No,No,No,No,Navy Yard,399991.82,134265.15,309432,Ward 6,No,No,No,No,0771    0811,No,Yes,Yes,Yes,Yes,20003,Yes
-77.03161976,38.91850673,44,Yes! Organic,2123 14th Street NW,2022326603,2008,0,No,No,No,No,Yes,U Street,397258.09,138959.31,306454,Ward 1,Yes,Yes,Yes,Yes,0235    0204,Yes,Yes,Yes,Yes,Yes,20009,Yes
-76.95088116,38.92085096,45,Costco Wholesale,2441 Market St NE,2022698540,2012,0,No,No,No,No,No,Costco,404259.71,139220.21,309925,Ward 5,No,No,No,Yes,4327    0004,Yes,Yes,Yes,Yes,Yes,20018,Yes
-77.0824645,38.95234016,46,Safeway,4203 Davenport ST NW,2023640290,1990,2015,Yes,Yes,Yes,Yes,Yes, ,392852.16,142717.87,301160,Ward 3,Yes,Yes,Yes,Yes,1672    0815,Yes,Yes,No,No,No,20016,No
-77.01198706,38.90040434,47,Walmart Supercenter,99 H st NW,2027192110,2013,0,No,No,No,No,No,H Street,398960.4,136949.39,310062,Ward 6,No,No,No,No,0623    0836,Yes,Yes,Yes,Yes,Yes,20001,Yes
-77.04906991,38.90091857,48,Whole Foods,2201 Eye Street NW,2022961660,2011,0,No,No,No,No,No,Foggy Bottom,395743.74,137007.55,310098,Ward 2,No,No,Yes,Yes,0054    7011,Yes,Yes,Yes,Yes,Yes,20037,Yes
-76.97977232,38.90057508,49,Safeway,1601 Maryland Ave NE,2023986903,2000,0,No,No,Yes,Yes,Yes, ,401754.81,136968.47,297814,Ward 5,Yes,Yes,Yes,Yes,4493    0001,Yes,Yes,Yes,Yes,Yes,20002,Yes
-77.00214447,38.95797669,50,Walmart Supercenter,310 Riggs Road NE,2027564418,2015,0,No,No,No,No,No,Riggs Road,399814.33,143340.35,311574,Ward 4,No,No,No,No,3748    0052,No,No,Yes,Yes,Yes,20011,Yes
-76.99814739,38.90040449,51,Whole Foods,600 H St NE,2024697410,2017,0,No,No,No,No,No, ,400160.9,136949.34,311750,Ward 6,No,No,No,No,0858    0866,No,No,No,No,Yes,20002,Yes
-76.98359319,38.91595167,52,Mom's Organic Market,1501 NEW YORK AVE NE,2027913826,2014,0,No,No,No,No,No,Mom's,401423.07,138675.33,311943,Ward 5,No,No,No,No,4037    0821,No,Yes,Yes,Yes,Yes,20002,Yes
-76.99552592,38.88474156,53,Trader Joe's,750 Pennsylvania Ave SE,2026980190,2017,0,No,No,No,No,No, ,400388.38,135210.64,313096,Ward 6,No,No,No,No,0901    0804,No,No,No,No,Yes,20003,Yes
-77.09596213,38.91744141,54,Safeway,4865 MacArthur Blvd NW,2023375649,1995,0,No,Yes,Yes,Yes,Yes, ,391678.11,138844.95,285004,Ward 3,Yes,Yes,Yes,Yes,1389    0025,Yes,Yes,Yes,Yes,Yes,20007,Yes